,brand,model_year,accident,price_usd,mileage_num,has_clean_title,is_sport,is_premium,is_4WD_AWD,engine_hp,engine_displacement,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,transmission_type_CVT,transmission_type_Manual,transmission_type_a/t,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gray,int_col_Orange,int_col_Red,int_col_White,int_col_nan,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gray,ext_col_Orange,ext_col_Red,ext_col_White,ext_col_nan
1150,0.348144328479453,0.16,1.0,0.40453845554164247,0.2640158063719437,1.0,0.0,0.0,0.0,0.6028708133971292,0.6329113924050633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1627,0.5794244594310589,0.12,1.0,0.5175958953607098,0.12077056063225489,1.0,0.0,0.0,0.0,0.6028708133971292,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3416,0.35245631376996567,0.4,1.0,0.27973717543441046,0.45665596443566314,1.0,0.0,0.0,0.0,0.430622009569378,0.6708860759493671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1232,0.2570014046499436,0.5599999999999999,1.0,0.36102531639193614,0.2948876265744628,1.0,0.0,0.0,0.0,0.36363636363636365,0.7215189873417722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1074,0.843417085740259,0.32,0.0,0.5116243445421016,0.14299827117806865,1.0,0.0,0.0,0.0,0.44593301435406696,0.43037974683544306,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2227,0.21440992762001354,0.22,0.0,0.4910680150478195,0.130649543097061,1.0,0.0,0.0,0.0,0.36363636363636365,0.5063291139240507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,0.07902424940734232,0.060000000000000005,0.0,0.4294491494409829,0.0590269202272166,1.0,1.0,0.0,0.0,0.13588516746411486,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2273,0.36679645846244036,0.30000000000000004,0.0,0.125148562445053,0.3430476660903927,1.0,0.0,0.0,0.0,0.18947368421052632,0.3037974683544304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1980,0.43160368202796384,0.16,1.0,0.39668110925488964,0.14546801679427018,1.0,0.0,0.0,1.0,0.3253588516746412,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,0.5794244594310589,0.30000000000000004,1.0,0.14590877834290406,0.4220795258088417,1.0,0.0,0.0,0.0,0.3789473684210526,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2715,0.5916344103549331,0.07999999999999999,0.0,0.5214946240310316,0.07508026673252656,1.0,0.0,0.0,0.0,0.33875598086124403,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1335,0.35656000760268025,0.18,0.0,0.3884568099020336,0.536922696962213,1.0,0.0,0.0,0.0,0.5454545454545454,0.6708860759493671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
